                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.0677,                0.48558,                0.91326,                0.82626,                0.68577,                0.72054,                0.51318,                 1.4856,                0.83742,                 1.0536,             1.2664e-05,             1.2664e-05,             1.2664e-05
                     92,                 1.0656,                0.48206,                0.91667,                0.81318,                0.68017,                0.72321,                0.51315,                 1.4862,                0.83761,                 1.0538,             1.0972e-05,             1.0972e-05,             1.0972e-05
                     93,                 1.0605,                0.47979,                0.91366,                0.83164,                0.67039,                0.72069,                0.51553,                 1.4731,                0.83152,                   1.05,              9.454e-06,              9.454e-06,              9.454e-06
                     94,                 1.0555,                0.47925,                0.90998,                0.82296,                0.68711,                0.72489,                0.51986,                 1.4649,                0.82263,                 1.0489,             8.1108e-06,             8.1108e-06,             8.1108e-06
                     95,                 1.0615,                0.48024,                0.91316,                0.82475,                0.67717,                0.72351,                 0.5147,                 1.4811,                 0.8295,                 1.0543,             6.9441e-06,             6.9441e-06,             6.9441e-06
                     96,                 1.0571,                 0.4799,                0.91152,                0.83374,                0.68067,                0.72291,                0.51906,                 1.4745,                0.82831,                 1.0525,             5.9549e-06,             5.9549e-06,             5.9549e-06
                     97,                 1.0649,                0.48275,                0.91008,                 0.8251,                 0.6752,                0.72432,                0.51845,                 1.4768,                0.82436,                 1.0535,             5.1442e-06,             5.1442e-06,             5.1442e-06
                     98,                 1.0583,                0.47828,                0.91164,                0.82763,                0.67785,                0.72282,                0.51789,                  1.481,                0.82793,                 1.0535,             4.5128e-06,             4.5128e-06,             4.5128e-06
                     99,                 1.0579,                0.47866,                0.91178,                0.80749,                0.69054,                0.72331,                0.51795,                 1.4765,                0.82788,                 1.0518,             4.0614e-06,             4.0614e-06,             4.0614e-06
                    100,                 1.0539,                0.47695,                0.91002,                0.81232,                0.68867,                0.72365,                0.51781,                 1.4829,                 0.8316,                 1.0528,             3.7904e-06,             3.7904e-06,             3.7904e-06
